rank,pp,accuracy,play_count,level,total_score,best_pp_avg,best_pp_median,best_accuracy_avg,best_combo_avg,best_count,pass_plays_count,pass_rate,ss_count,s_count,a_count,b_count,c_count,grade_diversity,peak_pp,peak_to_avg_ratio,pp_std,pp_range,consistency_score,accuracy_std,min_accuracy,max_accuracy,max_combo,avg_combo,ranked_score,ranked_score_ratio,pp_gain_week,pp_gain_month,pp_gain_quarter,plays_week,plays_month,recent_count,recent_pass_count,fail_rate,avg_recent_pp,improvement_trend,activity_range_days,plays_per_day,avg_days_between_plays,total_hits,hits_per_play,pp_per_play,pp_per_level,avg_score_per_play,overall_consistency,nlp_genre_anime,nlp_genre_electronic,nlp_genre_rock,nlp_genre_pop,nlp_genre_classical,nlp_genre_game,nlp_genre_anime_ratio,nlp_genre_electronic_ratio,nlp_genre_rock_ratio,nlp_genre_pop_ratio,nlp_genre_classical_ratio,nlp_genre_game_ratio,nlp_diff_easy,nlp_diff_medium,nlp_diff_hard,nlp_diff_expert,nlp_diff_easy_ratio,nlp_diff_medium_ratio,nlp_diff_hard_ratio,nlp_diff_expert_ratio,nlp_avg_diff_number,nlp_max_diff_number,nlp_mod_hd,nlp_mod_hr,nlp_mod_dt,nlp_mod_nc,nlp_mod_fl,nlp_mod_ez,nlp_mod_ht,nlp_mod_nf,nlp_mod_so,nlp_mod_sd,nlp_mod_pf,nlp_mod_hdhr,nlp_mod_hddt,nlp_mod_hrdt,nlp_mod_diversity,nlp_mod_total,nlp_avg_mods_per_play,nlp_nomod_ratio,nlp_unique_songs,nlp_unique_artists,nlp_song_diversity,nlp_artist_diversity,nlp_avg_title_length,nlp_japanese_ratio
49.0,20584.8,96.8623,89121.0,101.0,222170635661.0,1102.1261,942.185,0.9691858026898952,788.9,100.0,100.0,1.0,0.0,11.0,30.0,1.0,0.0,0.6,1227.79,1.1140195300701072,77.55602179064113,336.29499999999996,0.012729768860560303,0.021552868724772592,0.9134680134680134,0.9976931949250288,2345.0,788.9,22289373865.0,0.10032547189994241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20177885.0,226.40999315537303,0.23097586427441344,203.809900990099,2492910.0398447057,0.33518954911420684,2.0,1.0,1.0,0.0,0.0,1.0,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,3.0,43.0,4.0,93.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0,4.0,146.0,1.46,0.01,75.0,64.0,0.75,0.64,3.95,0.0
50.0,20555.8,96.6207,100709.0,101.0,201884187096.0,1141.058,902.855,0.9695343629439959,1359.5,100.0,100.0,1.0,0.0,1.0,11.0,2.0,0.0,0.6,1352.69,1.185469976109891,121.18329628529668,526.8860000000001,0.008184424797846432,0.012956191292826847,0.9455445544554455,0.9921171171171171,2740.0,1359.5,16525448801.0,0.08185608312721301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25088023.0,249.11401165734938,0.2041108540448222,203.52277227722772,2004629.0509884916,0.3278305948573025,3.0,2.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,1.0,3.0,1.0,0.0,0.2,0.6,0.2,2.0,2.0,99.0,0.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,3.0,198.0,1.98,0.01,76.0,67.0,0.76,0.67,3.08,0.0
81.0,19392.1,98.9313,260532.0,113.0,1335576916338.0,987.6894,917.2645,0.9887347426795567,1756.8,100.0,100.0,1.0,0.0,0.0,14.0,0.0,0.0,0.2,1051.97,1.0650817959573122,34.900006067764515,163.567,0.02785514849530692,0.008817679717308295,0.9645982498011137,0.9970104633781763,2599.0,1756.8,204296784983.0,0.15296519615145682,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,491.384,0.0,1.0,2.0,0.0,82264412.0,315.7555002840342,0.07443269924615786,171.61150442477876,5126345.0030629635,0.35703161824355983,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,3.0,2.0,0.0,0.0,0.6,0.4,0.0,0.0,95.0,2.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,4.0,192.0,1.8823529411764706,0.0392156862745098,94.0,82.0,0.9215686274509803,0.803921568627451,3.264705882352941,0.0
20.0,22994.8,97.8214,289728.0,103.0,359523790640.0,1226.176,1065.08,0.9807147240672982,351.35,100.0,100.0,1.0,0.0,3.0,29.0,0.0,0.0,0.4,1381.57,1.126730583537763,86.60219828326763,399.9469999999999,0.011415238653788486,0.010339478804352164,0.9602649006622517,1.0,603.0,351.35,40421615794.0,0.11243099023306403,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46896660.0,161.8644383697813,0.07936685442898166,223.2504854368932,1240901.088745306,0.3382953925314346,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,3.0,89.0,29.0,90.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,83.0,10.0,6.0,222.0,2.198019801980198,0.0,64.0,56.0,0.6336633663366337,0.5544554455445545,4.138613861386139,0.0
43.0,20830.4,97.6641,147855.0,104.0,439309604533.0,1129.077,951.2855,0.975932854623918,1514.85,100.0,100.0,1.0,0.0,3.0,13.0,0.0,0.0,0.4,1235.17,1.093964362040853,93.60253703983884,375.1060000000001,0.01057054103716988,0.011532791433083929,0.9509316770186336,0.996078431372549,3681.0,1514.85,37616481184.0,0.08562635734765578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37887437.0,256.24724899394676,0.14088397416387677,200.2923076923077,2971219.1304521323,0.32991612361916467,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.5714285714285714,0.42857142857142855,2.5,3.0,93.0,19.0,55.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,79.0,14.0,4.0,211.0,2.11,0.01,88.0,73.0,0.88,0.73,3.35,0.0
40.0,20917.1,97.0975,218765.0,102.0,303482149594.0,1091.509,976.564,0.973404351754476,536.2,100.0,100.0,1.0,0.0,0.0,26.0,4.0,0.0,0.4,1148.35,1.0520756127526203,55.356646649319345,214.9949999999999,0.017744135952987503,0.020129619226907494,0.9149305555555556,0.9965337954939342,1663.0,536.2,26669148637.0,0.08787715742978006,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,199.50900000000001,0.0,1.0,28.0,0.0,47266241.0,216.05942906772108,0.0956144721504811,205.06960784313725,1387251.8437318583,0.333460801610129,1.0,0.0,3.0,1.0,0.0,1.0,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,3.0,3.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,5.5,9.0,115.0,4.0,118.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,114.0,1.0,6.0,250.0,1.953125,0.015625,91.0,83.0,0.7109375,0.6484375,3.6328125,0.0
90.0,19142.4,98.2762,155625.0,102.0,263087803154.0,1028.1155,859.6345,0.9820273164523258,939.55,100.0,100.0,1.0,0.0,0.0,12.0,0.0,0.0,0.2,1153.52,1.1219751088277532,82.95452498123535,349.14,0.011911210267981502,0.009671149119984132,0.9508547008547008,0.9962962962962963,3581.0,939.55,39070540802.0,0.14850760975464083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29650959.0,190.52825060240963,0.12300337349397591,187.67058823529413,1690524.0363309237,0.34931676703358483,2.0,1.0,2.0,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,3.0,1.0,0.0,0.0,0.75,0.25,3.5,8.0,100.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,97.0,0.0,4.0,201.0,2.01,0.0,85.0,73.0,0.85,0.73,3.92,0.0
87.0,19199.6,98.7286,187883.0,107.0,729861323252.0,1029.663,878.6245,0.9869799129109778,1688.6,100.0,100.0,1.0,0.0,37.0,11.0,0.0,0.0,0.4,1137.21,1.1044487371110743,80.03458006419224,330.9440000000001,0.012340410713646463,0.009764065446195125,0.9587025675982731,0.9980392156862745,3578.0,1688.6,82858081396.0,0.11352578737398242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66408864.0,353.4586098795527,0.10218912834050978,179.43551401869158,3884658.661251949,0.33899390049765327,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,4.0,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,8.0,4.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,4.0,108.0,1.08,0.02,94.0,82.0,0.94,0.82,3.07,0.0
44.0,20795.7,96.6366,117434.0,102.0,280429019362.0,1102.449,952.741,0.9678706677752646,1125.6,100.0,100.0,1.0,0.0,0.0,14.0,1.0,0.0,0.4,1226.67,1.11267732112778,72.30632543043242,314.6460000000001,0.013641387617348222,0.011813261619055496,0.9449074074074074,0.9845238095238096,2406.0,1125.6,37204985217.0,0.1326716660837902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29115281.0,247.92888771565305,0.17708414939455355,203.87941176470588,2387971.280566105,0.34525805487207634,3.0,2.0,2.0,0.0,0.0,1.0,0.375,0.25,0.25,0.0,0.0,0.125,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,98.0,4.0,93.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,98.0,0.0,5.0,203.0,2.03,0.01,85.0,74.0,0.85,0.74,3.23,0.0
41.0,20866.1,97.7356,269208.0,103.0,421449673343.0,1120.228,960.287,0.9781134654693509,1205.05,100.0,100.0,1.0,0.0,0.0,21.0,0.0,0.0,0.2,1322.78,1.1808131916002813,93.66389062691128,467.0319999999999,0.010563690055178416,0.008154960345308113,0.9575955265610439,0.991130820399113,2407.0,1205.05,39464477827.0,0.09363983489170138,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,70.16914285714286,0.0,1.0,7.0,0.0,47481193.0,176.3736330272503,0.07750921220766098,202.58349514563105,1565516.8989888858,0.33231742648958174,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,3.0,1.0,0.0,0.0,0.75,0.25,5.75,12.0,106.0,1.0,68.0,31.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,99.0,0.0,6.0,210.0,1.9626168224299065,0.009345794392523364,96.0,84.0,0.897196261682243,0.7850467289719626,3.0,0.0
